epoch,loss,mean_absolut_error,val_loss,val_mean_absolut_error
0,3233.2959066833496,35.88038,2837.8962131347657,37.42204
1,1741.8355927474975,23.83305,1557.3420869018555,23.453814
2,1404.9008624801636,20.36615,1290.1523024536132,19.683184
3,1224.0996387786865,18.444029,1162.8195846069336,18.208752
4,1126.0143273834228,17.241428,1157.9511361694335,19.195766
5,1055.9359421951294,16.483128,6306.0324280273435,52.41087
6,977.5375885559082,15.602018,886.9014052612305,13.698952
7,942.2966898780822,15.036732,1217.0850571166993,18.224874
8,895.0688163269043,14.5324,833.9416733825684,13.061056
9,871.3670537429809,14.121913,856.6697843170166,13.012726
10,858.9596292274475,13.777483,872.7052950347901,13.687576
11,815.739427923584,13.380975,5273.21514140625,55.42206
12,796.5371463043213,13.062877,5812.226152539062,60.0698
13,771.5705604400634,12.780039,766.9393334426879,11.760579
14,753.1018520500184,12.534971,687.4918601928711,11.656288
15,734.5477175308228,12.217296,772.6657601104737,11.214274
16,729.1664715366363,12.032493,2914.362446057129,33.490154
17,718.6390132156372,11.980204,668.9313216964722,10.731518
18,705.6473242095947,11.730635,688.9201140472412,11.194001
19,689.0935090457916,11.500154,771.0178584487915,12.896521
20,682.6986105735779,11.373136,1721.9711912231446,26.502787
21,676.1938058490753,11.183117,4472.6969600585935,50.03422
22,655.3004508983612,11.012185,682.932777394104,10.506618
23,653.8258163959504,10.985782,636.2557359893799,9.868522
24,660.9835499824524,10.847834,639.9766657348633,10.283521
25,645.4436962574005,10.722632,609.8631318878174,10.44232
26,625.065097605133,10.424033,674.6843066467285,10.72141
27,628.709615050888,10.443967,579.0998851150513,9.153843
28,623.2744284698487,10.369518,606.8568334762573,9.948984
29,604.2703969787598,10.219107,6500.1988596679685,49.702423
30,602.5935893119812,10.123768,600.282364630127,9.85378
31,604.2763481204987,10.076954,600.8322322998047,9.046413
32,581.642895375824,9.819679,569.9525740951539,9.453114
33,587.5878335319519,9.771436,658.0720476760864,10.322711
34,574.2496303878784,9.713865,645.0555708648682,9.623254
35,583.8642269390106,9.772033,618.370751272583,9.083568
36,577.8281501464844,9.652579,546.3374576705933,9.334186
37,567.9201040847778,9.542629,655.2313711868286,9.859336
38,564.3726537498474,9.497464,529.78036173172,8.409549
39,553.713936597824,9.269791,618.1235081878663,10.146542
40,552.3541425067901,9.299854,558.6775859542847,10.076883
41,560.6496000919342,9.351821,531.7652307456971,8.239734
42,551.7664303573608,9.22389,668.3768216674805,10.615576
43,545.0392491184234,9.157095,578.4876203918457,10.727078
44,549.8636989793778,9.1062975,3252.025375463867,37.70225
45,542.8669489170074,9.071045,598.9929434906006,9.229831
46,539.0468397043228,9.023488,563.9487581237793,9.570287
47,534.7236985301971,8.902182,990.0054832397461,14.398181
48,529.9119769945145,8.812103,574.5969540222168,9.844033
49,528.8619000299453,8.839385,581.7011417938232,10.067028
50,522.3563553358078,8.7603855,526.4410625228882,8.322578
51,518.1730476226807,8.75495,518.4076457763672,7.86251
52,515.5002286037445,8.695967,683.5812544265747,10.057802
53,520.4881533115387,8.659793,520.1478567398071,8.650636
54,505.68086226825716,8.599686,600.2453223754883,9.611825
55,514.979207603836,8.555498,2714.508255541992,31.950094
56,515.1055570560455,8.608426,527.9797719299316,7.81494
57,506.8904508161545,8.48002,498.1330505111694,8.528437
58,501.99616810264587,8.426586,521.0457348907471,8.365756
59,494.20102978401184,8.3432255,576.595817477417,9.168688
60,502.4625278167725,8.403071,537.171468334198,8.446029
61,504.2380804449081,8.365709,525.6019070404053,8.391702
62,500.0215951505661,8.310233,510.58302732315065,7.961558
63,494.87917068138125,8.244926,574.3910145309449,8.551335
64,497.2261818883896,8.256752,509.05143796691897,8.368769
65,484.76445018100736,8.155953,485.5413642585754,7.6618204
66,492.96563107585905,8.157189,584.718858102417,10.163495
67,500.7150572999954,8.270731,524.0071148559571,8.043083
68,483.5423345178604,8.124539,513.6571272705078,7.980485
69,490.5164642580032,8.092563,469.26883703308107,7.4022117
70,474.49245474681857,7.9734282,512.1746709136963,8.283616
71,477.7697933084488,7.9681196,553.5513483169556,8.093705
72,480.7081569313049,8.053272,495.08193127593995,7.437921
73,482.37678883190154,7.9916196,479.8782114051819,7.254053
74,476.3194163579941,7.924397,633.9780641098023,8.800559
75,478.66106858243944,7.927989,503.1322660667419,7.703854
76,479.8906396791458,7.8908086,496.65579671325685,7.851343
77,479.93114563426974,7.853639,472.6217360092163,7.8911233
78,469.31571763248445,7.8402524,550.1017276565552,8.3248625
79,469.71555997276306,7.800685,468.0784392204285,7.6619697
80,467.19067293376924,7.724064,563.0166883178711,8.943672
81,470.854196591568,7.7157297,5290.235018261718,53.371
82,469.47593247089384,7.7221336,484.04243430786136,7.443621
83,467.8214484857559,7.655795,593.5025419593811,7.348882
84,456.3435113527298,7.60571,480.50184650726317,7.8282423
85,457.70458149471284,7.630798,530.7906968811035,7.995729
86,468.8090882408142,7.6973624,482.928291431427,8.210762
87,461.7450712961197,7.6175475,499.71877672348023,7.485411
88,463.3570217657089,7.6349335,446.2368227554321,7.347364
89,456.80110029201506,7.6086907,517.3067796432495,7.276864
90,472.66327379112244,7.6523376,13764.30078359375,82.00627
91,456.69373785743716,7.573225,504.34454886245726,7.4401007
92,456.58837749938965,7.545464,505.0208715927124,8.008219
93,452.6699926279068,7.4626923,476.30973385620115,7.1792197
94,461.8383418258667,7.5201006,454.3486457221985,6.7749076
95,447.039356524086,7.3748484,477.2429819618225,7.155478
96,448.78299275245666,7.4510736,462.4976632484436,7.059824
97,458.65127056999205,7.4935484,457.6537497238159,6.783355
98,457.2605118507385,7.438482,466.62822092437744,6.9772954
99,451.6909014642715,7.3860164,466.7855213645935,6.884083
100,449.83125966243745,7.360371,496.5374843269348,7.447876
101,454.9371349081039,7.4048295,480.7718887962341,7.794069
102,394.4593782822609,6.4435225,437.5085461841583,6.2265525
103,377.71910207910537,6.1697073,436.26291707878113,6.0106883
104,374.26557903928756,6.0734506,429.93516215400695,5.9155164
105,366.049903109169,5.976051,429.786391853714,5.9499855
106,370.7147754989624,5.9820075,417.9610112754822,5.7678
107,364.3647181872368,5.9003353,418.08317606163024,5.7594643
108,362.8772978440285,5.8893437,418.90935900535584,5.799492
109,360.5367104519844,5.851113,413.2462564434052,5.7633986
110,363.3829717906952,5.838246,423.7549465396881,5.7636676
111,365.1524894465446,5.8339653,421.7386390445709,5.705461
112,357.6578948740482,5.792909,408.4524366600037,5.6843886
113,360.3459425175667,5.788671,415.7968050102234,5.665537
114,363.0995621462822,5.78699,414.8794439296722,5.606591
115,355.32255906972887,5.73841,421.84592187767026,5.587989
116,352.8683322452545,5.7161946,413.17243645401,5.5676713
117,358.49645167627335,5.7370634,415.72634063339234,5.524927
118,358.5474710716248,5.723441,400.6923454444885,5.5357885
119,351.7693670541763,5.6754365,414.38534776115415,5.528574
120,355.66394932193754,5.685089,407.69591737098693,5.5604897
121,360.10376544656754,5.7004647,401.514041342926,5.496756
122,351.00093700089457,5.66314,403.626663596344,5.548215
123,355.6999150382519,5.6783156,403.88687403640745,5.4258533
124,359.75683626174924,5.685024,412.5737642677307,5.513578
125,352.1266556527138,5.6392136,411.0077884496689,5.476158
126,351.9019070418358,5.636281,408.0957458414078,5.4896955
127,352.40634731550216,5.6244802,414.76768428459167,5.518546
128,354.9925733188629,5.6480317,411.3176487745285,5.4613657
129,353.2316560341835,5.630718,414.59568115367887,5.5301485
130,351.1041708961487,5.6067705,402.11899404602053,5.3992357
131,350.6785573462486,5.5930085,396.59198538589476,5.425431
132,348.39759072732926,5.5664234,402.3093178653717,5.409241
133,351.845197585392,5.5673704,399.8766993177414,5.4171243
134,348.71065438938143,5.5656223,408.4548467437744,5.492726
135,348.0077183857918,5.5578194,400.47310087394715,5.4092817
136,348.5360126847267,5.541021,396.6671838541031,5.3607445
137,352.1113936063766,5.5518293,399.63327371749875,5.3909307
138,349.4630034277916,5.537642,399.1981494472504,5.387223
139,349.1152918960571,5.5261545,403.7208704093933,5.3583426
140,343.81864435071947,5.5087814,402.41224175128934,5.3493257
141,349.5948595419884,5.5188785,403.2942839540482,5.457831
142,346.82324607486726,5.5328293,401.4983815788269,5.367837
143,351.66024928007124,5.5378733,399.5551927713394,5.3231335
144,352.6999838236809,5.534421,391.70365233802795,5.359242
145,345.3752513414383,5.490653,394.93930303287505,5.3963313
146,345.9971339579582,5.495853,398.5205552848816,5.3567686
147,346.6655876962662,5.4897037,392.4095114328384,5.3280635
148,347.18637079696657,5.4923916,392.309371500206,5.3989644
149,343.588113692379,5.4766846,395.0498487186432,5.3679404
150,344.8984264388561,5.461987,394.6091326217651,5.3345037
151,344.98053364334106,5.451214,395.8056110713959,5.30985
152,348.9062078941822,5.4651318,390.11225909957886,5.3747244
153,348.1869633207321,5.47267,403.41429883384706,5.3728194
154,347.39749941778183,5.4662733,395.59445772342684,5.2875404
155,345.90460967316625,5.453617,402.05129162597655,5.374982
156,341.2889656469822,5.428034,406.19209653739927,5.360867
157,343.27533829717635,5.4257245,402.816461283493,5.357915
158,348.55821861720085,5.4530926,397.90343956451414,5.296119
159,343.89427713651656,5.432389,402.4305278352737,5.351681
160,343.3127182189941,5.4347763,398.47822189292907,5.2774377
161,347.7212356077194,5.430593,399.26958015327455,5.3186507
162,343.6878501055717,5.413794,397.6488347743988,5.3256392
163,342.8355755202293,5.404344,400.6564452243805,5.2708807
164,345.67102841739654,5.4087095,403.32194298114774,5.3192253
165,345.5932939816475,5.407879,401.66855695457457,5.3677382
166,337.7704114801407,5.319091,397.38911042728427,5.2166944
167,341.2695735470772,5.3201694,394.66359899368285,5.1943755
168,337.27442605986596,5.3028035,393.87689344120025,5.212289
169,336.8403757380962,5.288459,394.2122454898834,5.19689
170,338.25206920194626,5.291391,393.8043247280121,5.2083654
171,333.638243847084,5.2687435,392.39521327590944,5.194226
172,334.1565013812065,5.2677045,390.98677672615054,5.162872
